Időpont;Név;Irányítószám;Életkor;E-mail cím;TAJ szám;beoltás száma;beoltás ideje
08:00;Marja Meneo;1181;98;mmeneo26@slashdot.org;397472783;1;2021-02-15
08:30;Hally Kierans;1181;97;hkierans1c@amazon.com;109643407;1;2021-02-15
09:00;Isobel Pleasance;1181;97;ipleasance1u@shareasale.com;610794315;0;2021-03-05
09:30;Blondell Gniewosz;1181;94;bgniewoszs@earthlink.net;381797591;1;2021-02-15
10:00;Justino Downie;1181;94;jdownied@timesonline.co.uk;890659708;1;2021-02-15
10:30;Nolly Danielkiewicz;1181;92;ndanielkiewicz21@alibaba.com;638640887;0;2021-03-05
11:00;Louella Goodlife;1181;91;lgoodlife2q@storify.com;243115060;1;2021-02-15
11:30;Bendix Dalbey;1181;85;bdalbey1e@aboutads.info;394599119;0;2021-03-05
12:00;Stillmann Brunt;1181;80;sbruntx@wsj.com;842160508;0;2021-03-05
12:30;Huntington Baumert;1181;78;hbaumerty@ibm.com;229079977;1;2021-02-15
13:00;Curtice Uzielli;1181;77;cuzielli20@angelfire.com;281743612;1;2021-02-15
13:30;Liliane Scrafton;1181;77;lscraftonh@tinypic.com;186465046;1;2021-02-15
14:00;Sheff Bottrill;1181;73;sbottrill1n@craigslist.org;771501751;1;2021-02-15
14:30;Lizzie Chatt;1181;71;lchatt2i@sun.com;449450093;1;2021-02-15
15:00;Tera Kegley;1181;71;tkegley2r@shareasale.com;146777510;0;2021-02-15
15:30;Doy Milesap;1181;70;dmilesap2e@aol.com;261967159;1;2021-02-15
